bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
Ac Midi;Under 4 år;21;0
Ac Midi;4 - 7 år;0;0
Ac Midi;8 - 11 år;0;0
Ac Midi;12 - 15 år;0;0
Ac Midi;16 - 20 år;0;0
Ac Midi;Over 20 år;0;0
Ace;Under 4 år;0;0
Ace;4 - 7 år;0;0
Ace;8 - 11 år;0;0
Ace;12 - 15 år;0;0
Ace;16 - 20 år;0;0
Ace;Over 20 år;1;0
Acura;Under 4 år;0;0
Acura;4 - 7 år;1;0
Acura;8 - 11 år;0;0
Acura;12 - 15 år;1;0
Acura;16 - 20 år;0;0
Acura;Over 20 år;1;0
Adria;Under 4 år;0;0
Adria;4 - 7 år;0;0
Adria;8 - 11 år;0;2
Adria;12 - 15 år;4;226
Adria;16 - 20 år;0;23
Adria;Over 20 år;0;0
Aixam;Under 4 år;0;0
Aixam;4 - 7 år;0;0
Aixam;8 - 11 år;0;0
Aixam;12 - 15 år;0;0
Aixam;16 - 20 år;0;0
Aixam;Over 20 år;0;0
Alfa Romeo;Under 4 år;776;0
Alfa Romeo;4 - 7 år;362;0
Alfa Romeo;8 - 11 år;1531;0
Alfa Romeo;12 - 15 år;967;0
Alfa Romeo;16 - 20 år;512;0
Alfa Romeo;Over 20 år;785;0
Alpina;Under 4 år;1;0
Alpina;4 - 7 år;19;0
Alpina;8 - 11 år;1;0
Alpina;12 - 15 år;0;0
Alpina;16 - 20 år;2;0
Alpina;Over 20 år;4;0
Alpine;Under 4 år;1;0
Alpine;4 - 7 år;1;0
Alpine;8 - 11 år;0;0
Alpine;12 - 15 år;0;0
Alpine;16 - 20 år;0;0
Alpine;Over 20 år;0;0
Alpus;Under 4 år;0;0
Alpus;4 - 7 år;0;0
Alpus;8 - 11 år;0;0
Alpus;12 - 15 år;0;0
Alpus;16 - 20 år;0;0
Alpus;Over 20 år;0;0
Alvis;Under 4 år;0;0
Alvis;4 - 7 år;0;0
Alvis;8 - 11 år;0;0
Alvis;12 - 15 år;0;0
Alvis;16 - 20 år;0;0
Alvis;Over 20 år;11;0
AM General;Under 4 år;0;0
AM General;4 - 7 år;0;0
AM General;8 - 11 år;0;0
AM General;12 - 15 år;0;0
AM General;16 - 20 år;0;0
AM General;Over 20 år;13;1
Amatør Bil;Under 4 år;2;0
Amatør Bil;4 - 7 år;0;0
Amatør Bil;8 - 11 år;0;0
Amatør Bil;12 - 15 år;0;0
Amatør Bil;16 - 20 år;0;0
Amatør Bil;Over 20 år;0;0
Amc;Under 4 år;0;0
Amc;4 - 7 år;0;0
Amc;8 - 11 år;0;0
Amc;12 - 15 år;0;0
Amc;16 - 20 år;0;0
Amc;Over 20 år;66;3
American Motors;Under 4 år;0;0
American Motors;4 - 7 år;0;0
American Motors;8 - 11 år;0;0
American Motors;12 - 15 år;0;0
American Motors;16 - 20 år;0;0
American Motors;Over 20 år;95;3
Arctic trucks;Under 4 år;0;12
Arctic trucks;4 - 7 år;0;0
Arctic trucks;8 - 11 år;0;0
Arctic trucks;12 - 15 år;0;0
Arctic trucks;16 - 20 år;0;0
Arctic trucks;Over 20 år;0;0
Ariel;Under 4 år;0;0
Ariel;4 - 7 år;0;0
Ariel;8 - 11 år;0;0
Ariel;12 - 15 år;2;0
Ariel;16 - 20 år;0;0
Ariel;Over 20 år;0;0
Aro;Under 4 år;0;0
Aro;4 - 7 år;0;0
Aro;8 - 11 år;0;0
Aro;12 - 15 år;0;0
Aro;16 - 20 år;0;0
Aro;Over 20 år;0;1
Arrow;Under 4 år;0;0
Arrow;4 - 7 år;0;0
Arrow;8 - 11 år;0;0
Arrow;12 - 15 år;0;0
Arrow;16 - 20 år;0;0
Arrow;Over 20 år;1;0
Asquith;Under 4 år;0;0
Asquith;4 - 7 år;0;0
Asquith;8 - 11 år;0;0
Asquith;12 - 15 år;0;0
Asquith;16 - 20 år;0;0
Asquith;Over 20 år;0;1
Aston Martin;Under 4 år;22;0
Aston Martin;4 - 7 år;12;0
Aston Martin;8 - 11 år;27;0
Aston Martin;12 - 15 år;70;0
Aston Martin;16 - 20 år;24;0
Aston Martin;Over 20 år;35;0
Aston Martin Lagonda;Under 4 år;1;0
Aston Martin Lagonda;4 - 7 år;1;0
Aston Martin Lagonda;8 - 11 år;6;0
Aston Martin Lagonda;12 - 15 år;2;0
Aston Martin Lagonda;16 - 20 år;0;0
Aston Martin Lagonda;Over 20 år;1;0
Audi;Under 4 år;19841;1
Audi;4 - 7 år;31098;2
Audi;8 - 11 år;35915;0
Audi;12 - 15 år;30363;0
Audi;16 - 20 år;22919;47
Audi;Over 20 år;12110;172
Aurora;Under 4 år;0;0
Aurora;4 - 7 år;0;0
Aurora;8 - 11 år;0;0
Aurora;12 - 15 år;0;0
Aurora;16 - 20 år;0;0
Aurora;Over 20 år;1;0
Austin;Under 4 år;0;0
Austin;4 - 7 år;0;0
Austin;8 - 11 år;0;0
Austin;12 - 15 år;0;0
Austin;16 - 20 år;0;0
Austin;Over 20 år;715;59
Auto Union;Under 4 år;0;0
Auto Union;4 - 7 år;0;0
Auto Union;8 - 11 år;0;0
Auto Union;12 - 15 år;0;0
Auto Union;16 - 20 år;0;0
Auto Union;Over 20 år;41;0
