Typer;år;vehic
Kjøretøy i alt;1950;150579
Kjøretøy i alt;1951;167680
Kjøretøy i alt;1952;191671
Kjøretøy i alt;1953;219596
Kjøretøy i alt;1954;256327
Kjøretøy i alt;1955;289559
Kjøretøy i alt;1956;317364
Kjøretøy i alt;1957;372174
Kjøretøy i alt;1958;421032
Kjøretøy i alt;1959;474057
Kjøretøy i alt;1960;542312
Kjøretøy i alt;1961;620473
Kjøretøy i alt;1962;685481
Kjøretøy i alt;1963;739113
Kjøretøy i alt;1964;800861
Kjøretøy i alt;1965;854724
Kjøretøy i alt;1966;908250
Kjøretøy i alt;1967;964863
Kjøretøy i alt;1968;1024910
Kjøretøy i alt;1969;1121896
Kjøretøy i alt;1970;1188973
Kjøretøy i alt;1971;1298328
Kjøretøy i alt;1972;1382396
Kjøretøy i alt;1973;1348698
Kjøretøy i alt;1974;1402549
Kjøretøy i alt;1975;1511789
Kjøretøy i alt;1976;1619696
Kjøretøy i alt;1977;1759330
Kjøretøy i alt;1978;1847507
Kjøretøy i alt;1979;1939340
Kjøretøy i alt;1980;2025944
Kjøretøy i alt;1981;2123622
Kjøretøy i alt;1982;2242654
Kjøretøy i alt;1983;2337705
Kjøretøy i alt;1984;2445147
Kjøretøy i alt;1985;2614955
Kjøretøy i alt;1986;2780311
Kjøretøy i alt;1987;2865462
Kjøretøy i alt;1988;2893639
Kjøretøy i alt;1989;2902413
Kjøretøy i alt;1990;2930277
Kjøretøy i alt;1991;2944270
Kjøretøy i alt;1992;2965187
Kjøretøy i alt;1993;2986381
Kjøretøy i alt;1994;3027745
Kjøretøy i alt;1995;3091320
Kjøretøy i alt;1996;3099847
Kjøretøy i alt;1997;3248684
Kjøretøy i alt;1998;3324207
Kjøretøy i alt;1999;3399550
Kjøretøy i alt;2000;3484593
Kjøretøy i alt;2001;3557765
Kjøretøy i alt;2002;3638453
Kjøretøy i alt;2003;3735699
Kjøretøy i alt;2004;3840262
Kjøretøy i alt;2005;3962214
Kjøretøy i alt;2006;4103296
Kjøretøy i alt;2007;4271563
Kjøretøy i alt;2008;4386923
Kjøretøy i alt;2009;4485918
Kjøretøy i alt;2010;4604846
Kjøretøy i alt;2011;4730193
Kjøretøy i alt;2012;4862938
Kjøretøy i alt;2013;4980051
Kjøretøy i alt;2014;5091026
Kjøretøy i alt;2015;5214039
Kjøretøy i alt;2016;5335076
Kjøretøy i alt;2017;5444740
Kjøretøy i alt;2018;5515360
Kjøretøy i alt;2019;5623196
Personbiler;1950;65028
Personbiler;1951;69509
Personbiler;1952;78643
Personbiler;1953;90771
Personbiler;1954;108034
Personbiler;1955;122143
Personbiler;1956;134111
Personbiler;1957;153391
Personbiler;1958;172630
Personbiler;1959;192748
Personbiler;1960;225439
Personbiler;1961;276514
Personbiler;1962;322214
Personbiler;1963;364782
Personbiler;1964;416170
Personbiler;1965;465707
Personbiler;1966;516368
Personbiler;1967;569693
Personbiler;1968;619592
Personbiler;1969;700316
Personbiler;1970;747966
Personbiler;1971;806556
Personbiler;1972;854237
Personbiler;1973;838140
Personbiler;1974;890361
Personbiler;1975;953657
Personbiler;1976;1022918
Personbiler;1977;1106605
Personbiler;1978;1146894
Personbiler;1979;1189754
Personbiler;1980;1233615
Personbiler;1981;1278817
Personbiler;1982;1337884
Personbiler;1983;1383367
Personbiler;1984;1429710
Personbiler;1985;1513954
Personbiler;1986;1592195
Personbiler;1987;1623137
Personbiler;1988;1621955
Personbiler;1989;1612674
Personbiler;1990;1613037
Personbiler;1991;1614623
Personbiler;1992;1619438
Personbiler;1993;1633088
Personbiler;1994;1653678
Personbiler;1995;1684664
Personbiler;1996;1661247
Personbiler;1997;1758001
Personbiler;1998;1786404
Personbiler;1999;1813642
Personbiler;2000;1851929
Personbiler;2001;1872862
Personbiler;2002;1899767
Personbiler;2003;1933660
Personbiler;2004;1977922
Personbiler;2005;2028909
Personbiler;2006;2084193
Personbiler;2007;2154837
Personbiler;2008;2197193
Personbiler;2009;2244039
Personbiler;2010;2308548
Personbiler;2011;2376426
Personbiler;2012;2442964
Personbiler;2013;2500265
Personbiler;2014;2555443
Personbiler;2015;2610352
Personbiler;2016;2662910
Personbiler;2017;2719395
Personbiler;2018;2751948
Personbiler;2019;2801208
Busser;1950;3797
Busser;1951;3998
Busser;1952;4207
Busser;1953;4269
Busser;1954;4499
Busser;1955;4633
Busser;1956;4715
Busser;1957;4860
Busser;1958;4911
Busser;1959;4961
Busser;1960;5109
Busser;1961;5578
Busser;1962;5834
Busser;1963;5930
Busser;1964;6131
Busser;1965;6354
Busser;1966;6627
Busser;1967;6927
Busser;1968;7100
Busser;1969;7304
Busser;1970;7485
Busser;1971;7706
Busser;1972;8024
Busser;1973;7959
Busser;1974;8341
Busser;1975;8714
Busser;1976;9215
Busser;1977;10038
Busser;1978;10779
Busser;1979;11443
Busser;1980;11919
Busser;1981;12936
Busser;1982;14152
Busser;1983;15199
Busser;1984;16097
Busser;1985;17082
Busser;1986;18278
Busser;1987;19204
Busser;1988;19771
Busser;1989;20199
Busser;1990;21222
Busser;1991;23288
Busser;1992;26760
Busser;1993;29134
Busser;1994;30547
Busser;1995;32515
Busser;1996;33959
Busser;1997;35171
Busser;1998;36218
Busser;1999;37039
Busser;2000;36686
Busser;2001;35667
Busser;2002;34110
Busser;2003;32374
Busser;2004;30592
Busser;2005;28783
Busser;2006;26954
Busser;2007;25204
Busser;2008;23324
Busser;2009;21474
Busser;2010;20348
Busser;2011;19240
Busser;2012;18220
Busser;2013;17584
Busser;2014;17111
Busser;2015;16668
Busser;2016;16258
Busser;2017;16041
Busser;2018;15634
Busser;2019;15867
Varebiler;1950;15808
Varebiler;1951;19519
Varebiler;1952;25105
Varebiler;1953;28917
Varebiler;1954;30671
Varebiler;1955;32597
Varebiler;1956;35515
Varebiler;1957;40671
Varebiler;1958;46135
Varebiler;1959;52803
Varebiler;1960;59106
Varebiler;1961;61016
Varebiler;1962;64854
Varebiler;1963;66905
Varebiler;1964;69418
Varebiler;1965;70577
Varebiler;1966;71496
Varebiler;1967;72591
Varebiler;1968;72870
Varebiler;1969;73587
Varebiler;1970;73299
Varebiler;1971;92503
Varebiler;1972;99809
Varebiler;1973;88676
Varebiler;1974;83109
Varebiler;1975;74951
Varebiler;1976;72632
Varebiler;1977;72908
Varebiler;1978;73198
Varebiler;1979;76987
Varebiler;1980;76517
Varebiler;1981;80896
Varebiler;1982;85532
Varebiler;1983;90832
Varebiler;1984;104715
Varebiler;1985;130681
Varebiler;1986;145983
Varebiler;1987;157282
Varebiler;1988;162708
Varebiler;1989;165183
Varebiler;1990;164738
Varebiler;1991;164475
Varebiler;1992;165446
Varebiler;1993;169981
Varebiler;1994;176528
Varebiler;1995;183897
Varebiler;1996;186523
Varebiler;1997;198306
Varebiler;1998;208955
Varebiler;1999;219731
Varebiler;2000;233248
Varebiler;2001;249939
Varebiler;2002;258133
Varebiler;2003;268326
Varebiler;2004;284029
Varebiler;2005;302956
Varebiler;2006;331052
Varebiler;2007;361911
Varebiler;2008;379343
Varebiler;2009;387546
Varebiler;2010;397279
Varebiler;2011;410730
Varebiler;2012;424634
Varebiler;2013;434636
Varebiler;2014;441967
Varebiler;2015;450385
Varebiler;2016;461498
Varebiler;2017;470855
Varebiler;2018;476873
Varebiler;2019;489417
Lastebiler;1950;31055
Lastebiler;1951;35880
Lastebiler;1952;39031
Lastebiler;1953;41219
Lastebiler;1954;44580
Lastebiler;1955;46956
Lastebiler;1956;47951
Lastebiler;1957;47938
Lastebiler;1958;48213
Lastebiler;1959;48276
Lastebiler;1960;48449
Lastebiler;1961;51129
Lastebiler;1962;51881
Lastebiler;1963;52332
Lastebiler;1964;53587
Lastebiler;1965;54940
Lastebiler;1966;57068
Lastebiler;1967;57578
Lastebiler;1968;59237
Lastebiler;1969;63854
Lastebiler;1970;69675
Lastebiler;1971;57073
Lastebiler;1972;57623
Lastebiler;1973;53704
Lastebiler;1974;55618
Lastebiler;1975;56791
Lastebiler;1976;58922
Lastebiler;1977;62694
Lastebiler;1978;64770
Lastebiler;1979;66611
Lastebiler;1980;67386
Lastebiler;1981;68266
Lastebiler;1982;69516
Lastebiler;1983;70086
Lastebiler;1984;70990
Lastebiler;1985;73548
Lastebiler;1986;77049
Lastebiler;1987;79369
Lastebiler;1988;78730
Lastebiler;1989;76761
